#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
27.209058,500,842.790335
1.992499,500,850.174254
4.342276,500,857.571431
0.921575,500,870.301907
0.003109,500,877.597033
6.756221,500,885.036046
6.809393,500,892.421159
-2.616326,500,912.134648
10.281877,500,919.437077
6.102602,500,926.840609
6.243933,500,934.175938
19.867241,500,953.885939
7.906273,500,961.265583
0.413526,500,969.074677
24.395997,500,976.689209
3.893251,500,995.95929
8.789198,500,1003.434282
14.512299,500,1011.097612
9.790318,500,1018.663434
-3.304735,500,1037.082784
5.876917,500,1044.498802
22.319256,500,1052.009894
3.262364,500,1059.751817
-1.843742,500,1071.640068
17.320363,500,1079.348818
3.062232,500,1086.66337
4.045424,500,1094.223054
4.655603,500,1113.087562
0.36923,500,1120.822422
20.379528,500,1128.256828
3.538557,500,1135.924637
14.860238,500,1155.128244
2.975032,500,1162.871296
13.098358,500,1170.73392
2.487718,500,1178.299767
-1.583511,500,1198.447134
19.025486,500,1206.023441
9.557375,500,1213.752343
0.508969,500,1221.460089
12.404021,500,1240.435927
13.16691,500,1248.370098
10.812729,500,1255.77101
6.14072,500,1263.574046
11.986962,500,1277.544287
6.511827,500,1285.007759
14.433002,500,1292.920918
-0.289193,500,1300.240343
6.68496,500,1319.850225
10.752232,500,1327.364481
7.155804,500,1334.973286
11.690825,500,1342.42579
12.875877,500,1362.290307
6.16728,500,1369.932274
20.956171,500,1377.646025
3.507435,500,1385.33695
16.414434,500,1405.386672
-2.458404,500,1413.160821
27.764051,500,1420.96867
6.62663,500,1429.159969
5.296416,500,1450.190352
6.894385,500,1458.023186
8.030769,500,1465.794651
-3.334632,500,1473.315341
14.295966,500,1486.343188
1.06937,500,1494.272838
10.910796,500,1502.344732
6.334589,500,1510.367147
17.14346,500,1529.468891
16.647637,500,1537.040462
6.492782,500,1544.519163
12.823111,500,1551.947792
9.547562,500,1570.813821
-0.924149,500,1578.668144
4.109902,500,1586.187331
-3.508009,500,1594.037329
0.688833,500,1613.87664
19.281013,500,1621.71754
0.929699,500,1629.296013
3.93072,500,1637.012395
15.758839,500,1656.811806
6.378026,500,1664.587659
13.559687,500,1671.94477
8.79556,500,1679.404622
3.017513,500,1693.43658
4.956568,500,1701.142523
17.245597,500,1708.852418
11.328306,500,1716.482075
7.410975,500,1737.508815
7.171629,500,1745.479925
14.111191,500,1753.128586
5.448107,500,1761.036208
7.454328,500,1781.366266
19.885613,500,1788.826488
10.917705,500,1796.487214
13.845336,500,1804.047571
-0.576611,500,1822.152776
-2.597999,500,1829.449483
14.999589,500,1837.009794
12.704452,500,1844.549823
7.853104,500,1862.648932
15.745518,500,1870.098714
14.307867,500,1877.849524
16.897377,500,1885.296398
2.325772,500,1897.475551
7.764377,500,1904.883901
0.631499,500,1912.263241
15.442759,500,1919.776987
4.740641,500,1938.879644
6.302126,500,1946.203399
15.549856,500,1953.825595
1.198654,500,1961.476635
0.028368,500,1981.328365
5.550909,500,1988.895432
14.988648,500,1996.609023
26.481348,500,2004.188056
5.158984,500,2023.416289
6.593908,500,2031.715915
3.1123,500,2040.060596
2.017887,500,2048.274452
14.86778,500,2068.867201
6.896901,500,2076.483185
4.721493,500,2084.087575
1.989532,500,2091.675047
18.374381,500,2104.927083
12.104373,500,2112.714619
23.184082,500,2120.410169
11.658345,500,2128.00515
21.017522,500,2146.857306
6.034819,500,2154.401063
17.484777,500,2161.697157
2.55917,500,2169.03478
5.823488,500,2188.010165
23.738829,500,2195.425757
1.295203,500,2202.719423
6.064487,500,2210.443114
4.289718,500,2230.811379
7.143002,500,2239.237956
10.954763,500,2247.428178
9.344725,500,2255.42557
6.711404,500,2274.462013
16.708944,500,2282.204792
1.725959,500,2289.84913
-5.681264,500,2297.243708
5.739714,500,2309.042208
13.056554,500,2316.90956
8.362502,500,2324.591812
-0.366605,500,2332.121392
5.260272,500,2351.226732
15.411608,500,2359.46953
11.715802,500,2367.35693
4.734165,500,2375.175513
1.308397,500,2393.517356
16.648408,500,2401.06508
-1.541446,500,2408.782911
6.699382,500,2416.421571
8.493535,500,2434.64671
0.940902,500,2442.293822
5.163032,500,2449.995915
7.799484,500,2457.579524
11.536232,500,2477.05166
19.810586,500,2485.096485
13.208592,500,2493.25054
20.328168,500,2501.109989
3.062999,500,2513.645201
16.139854,500,2521.345896
4.90161,500,2529.577449
8.674741,500,2538.36606
2.431331,500,2556.907907
16.706139,500,2565.455586
6.303652,500,2573.166365
18.682584,500,2582.241889
10.413206,500,2601.135521
5.180173,500,2609.423763
9.089059,500,2617.401832
3.567398,500,2625.373964
3.346999,500,2644.376892
24.85351,500,2652.005337
9.942721,500,2659.818366
3.657305,500,2668.608852
10.29471,500,2688.275076
9.490701,500,2696.2611
7.02583,500,2704.535481
11.877117,500,2712.938816
3.163179,500,2725.170344
-2.546492,500,2733.004751
4.115637,500,2742.559614
7.177052,500,2750.310763
13.175274,500,2769.278218
9.507021,500,2777.023358
3.26562,500,2785.072968
2.075485,500,2793.055492
10.45998,500,2811.653062
1.648285,500,2819.474176
5.873029,500,2827.150355
3.299588,500,2834.988468
10.958646,500,2853.599971
7.337441,500,2861.463184
-1.562598,500,2869.162165
17.680513,500,2876.752587
14.71348,500,2910.18815
3.00586,500,2923.703216
8.651322,500,2937.370545
3.782296,500,2953.873572
-0.444269,500,2975.763367
8.239463,500,2988.702267
6.247807,500,3001.975731
-0.894549,500,3015.156658
5.812048,500,3045.692878
2.79008,500,3058.962083
1.404283,500,3072.080763
3.652832,500,3085.143893
3.749276,500,3115.74392
-4.942133,500,3130.494897
6.008615,500,3144.694806
4.757264,500,3158.972462
-2.873374,500,3190.412078
10.36994,500,3203.917529
22.102655,500,3217.443957
9.010408,500,3230.737521
6.923165,500,3262.657051
12.818253,500,3275.966893
10.219177,500,3291.220258
2.944049,500,3306.067534
18.542661,500,3330.914311
7.027196,500,3350.495652
6.351346,500,3372.731047
7.249694,500,3391.470664
1.74556,500,3434.903406
-2.309027,500,3448.71175
5.635986,500,3463.105705
9.721927,500,3479.529835
16.945829,500,3516.776001
4.74621,500,3531.388439
4.380525,500,3546.398605
8.862705,500,3560.832102
0.890923,500,3606.95454
7.07002,500,3619.927964
10.909306,500,3632.810148
2.489891,500,3645.816305
14.01219,500,3676.686597
4.285489,500,3689.598547
10.436095,500,3702.361526
8.157932,500,3714.99654
13.1389,500,3734.122282
7.1916,500,3746.697776
9.677901,500,3759.432233
14.217951,500,3772.04607
7.559477,500,3802.454046
15.085662,500,3815.26215
9.317055,500,3828.135908
-2.955395,500,3840.925499
18.82833,500,3871.801951
3.009741,500,3884.507004
12.448812,500,3897.383326
2.633621,500,3910.243485
-2.506979,500,3941.007805
7.329753,500,3953.697781
-2.511184,500,3966.671043
5.505239,500,3980.110894
11.753678,500,4009.979362
19.629354,500,4022.941342
7.54455,500,4036.077189
4.985157,500,4049.060914
9.003522,500,4067.574344
-0.776775,500,4080.571183
16.294895,500,4093.470336
5.097841,500,4106.55091
0.254413,500,4137.086168
5.758121,500,4150.09726
-1.251444,500,4162.953814
1.858394,500,4175.874706
6.574299,500,4207.129628
6.01812,500,4220.310479
-1.241543,500,4233.44226
7.609779,500,4246.361979
5.127366,500,4276.482706
-1.861128,500,4289.456519
9.104596,500,4302.190586
6.926636,500,4314.976098
8.595675,500,4345.697981
4.84452,500,4358.756503
0.313225,500,4371.664997
17.17359,500,4384.562289
-1.762885,500,4403.665445
6.47793,500,4416.739048
9.953854,500,4429.842355
-2.237579,500,4442.78378
-0.697197,500,4475.567239
1.61752,500,4489.231323
7.333531,500,4502.774312
-3.787754,500,4516.025425
11.700043,500,4549.352895
7.211935,500,4563.022067
11.097894,500,4576.930582
16.649835,500,4589.932306
6.02899,500,4622.137073
9.601925,500,4635.58387
-2.445457,500,4649.103423
25.924292,500,4664.033869
3.997274,500,4695.305199
11.484457,500,4708.840432
5.456699,500,4722.192635
15.57366,500,4735.372998
6.018158,500,4755.017468
7.5865,500,4768.204493
2.290223,500,4781.835142
11.937388,500,4795.133094
5.419227,500,4826.574493
-0.949969,500,4841.777053
8.511222,500,4856.939811
5.808713,500,4871.724718
20.514699,500,4903.793137
9.790462,500,4917.447359
14.070794,500,4931.30836
12.323203,500,4944.464533
10.09411,500,4975.077736
3.372189,500,4988.272354
6.674161,500,5001.513817
2.340605,500,5014.500857
-0.6323,500,5045.600111
9.211957,500,5058.748123
2.8144,500,5071.958731
0.980808,500,5085.33091
1.678405,500,5109.45872
15.509177,500,5125.517036
2.958489,500,5141.328639
13.51987,500,5156.932541
17.436071,500,5189.323088
8.057887,500,5202.494067
1.950996,500,5215.656665
3.969902,500,5228.865621
2.780201,500,5264.351218
2.840876,500,5280.610034
6.072653,500,5296.670844
7.61327,500,5314.51478
13.698742,500,5346.824901
4.861224,500,5360.235149
10.345709,500,5375.72546
2.598365,500,5388.672551
17.179571,500,5419.020703
18.106422,500,5431.63022
5.995205,500,5444.778699
4.107162,500,5457.649015
0.882703,500,5477.70972
4.422518,500,5490.914906
9.350487,500,5503.677664
11.958994,500,5516.75182
2.26458,500,5548.223378
5.842544,500,5561.295382
-1.71773,500,5574.145107
11.55564,500,5586.672537
7.117417,500,5617.256283
14.525919,500,5630.421981
11.673445,500,5643.564083
2.568172,500,5656.284341
13.315421,500,5686.34139
1.496304,500,5699.191834
5.583491,500,5711.95985
3.346615,500,5724.704555
14.189926,500,5754.896603
-1.757291,500,5768.065494
16.297425,500,5781.306919
5.329445,500,5794.324436
16.713925,500,5814.34993
9.772527,500,5827.590595
8.426292,500,5840.56443
12.611755,500,5853.3068
6.794913,500,5883.507863
-0.71715,500,5899.213304
11.34332,500,5917.404411
2.041045,500,5932.525415
7.360707,500,5965.442163
-1.469601,500,5978.868223
13.155421,500,5991.950035
17.33269,500,6005.186649
6.673555,500,6036.206456
13.351995,500,6049.471026
16.365032,500,6062.787962
8.750586,500,6076.127972
-5.958396,500,6109.151819
5.40953,500,6122.26074
3.129711,500,6135.888417
8.122478,500,6149.258061
23.913187,500,6170.401002
9.477098,500,6185.156735
4.971269,500,6199.355532
7.720919,500,6212.538239
9.552265,500,6244.227577
16.925585,500,6258.237521
16.825294,500,6271.3934
5.855313,500,6284.400079
27.062863,500,6316.915332
2.665261,500,6330.164059
4.968227,500,6343.287657
9.136753,500,6356.410289
15.990988,500,6389.038557
7.04372,500,6402.393838
7.599068,500,6416.005281
8.287742,500,6428.864241
2.814472,500,6460.677352
1.506757,500,6473.937691
6.270919,500,6487.109055
8.165751,500,6500.253188
3.293124,500,6522.17152
5.982579,500,6536.191375
14.52022,500,6549.770815
-3.30899,500,6563.030367
6.996376,500,6593.992508
1.673364,500,6607.884892
4.593756,500,6620.831587
15.07419,500,6633.917438
12.670859,500,6665.158968
5.406785,500,6679.066177
16.072346,500,6692.494654
4.067422,500,6705.720995
10.263624,500,6740.944842
4.011894,500,6755.224693
18.675416,500,6768.656359
3.089817,500,6782.175985
-1.609092,500,6812.43269
14.279235,500,6825.529325
-1.36855,500,6838.447037
9.006336,500,6851.424237
6.663095,500,6870.312355
12.066687,500,6883.473096
-0.82855,500,6896.48311
17.123005,500,6909.476207
5.788887,500,6939.763584
13.615329,500,6952.86207
5.178762,500,6965.781974
14.933074,500,6978.621409
-2.026063,500,7013.174986
10.892308,500,7026.635603
10.958905,500,7039.920446
1.344559,500,7053.677661
4.443232,500,7088.439379
7.189772,500,7101.85742
8.960811,500,7115.144879
11.188766,500,7127.964349
7.590237,500,7168.451926
14.291507,500,7181.62122
6.80166,500,7194.909624
5.628098,500,7208.009933
12.384175,500,7227.27731
2.812317,500,7240.386413
4.376304,500,7256.456539
9.928219,500,7270.227433
0.238879,500,7300.914408
7.444797,500,7314.20008
-0.269104,500,7327.158014
1.404877,500,7340.262664
6.414958,500,7370.716085
5.600817,500,7383.980171
-3.394131,500,7396.892618
4.327863,500,7410.124094
8.477258,500,7440.942711
1.095553,500,7454.181508
3.12315,500,7467.226962
2.086387,500,7480.377642
13.648743,500,7510.360059
7.383982,500,7523.716114
5.979482,500,7536.891984
1.376863,500,7549.819513
7.132145,500,7569.05871
10.299954,500,7582.065118
8.632886,500,7595.325775
7.251409,500,7608.604201
12.750997,500,7639.713629
7.302632,500,7652.878591
6.637027,500,7666.127941
20.865477,500,7681.316641
13.133577,500,7712.131384
3.762667,500,7725.351638
15.737247,500,7738.687188
12.786634,500,7751.648899
19.469834,500,7781.369224
-0.587494,500,7794.47763
14.956273,500,7807.716931
4.392818,500,7820.708484
11.896865,500,7850.908976
10.622628,500,7863.965533
6.63126,500,7877.048954
4.237247,500,7889.954395
9.808226,500,7909.261242
6.045799,500,7922.546866
17.242578,500,7935.767881
20.737189,500,7948.731507
